Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"萱草花(钢琴曲)","StarryPiano","治愈纯音乐 缓解压力","Favorite Songs","Favorite","QZPLS2359366","6KuU6oPmMGdzC8wlZmkaaK"
"散了吧","林志炫","散了吧 豪華典藏版","Favorite Songs","Favorite","TWA479703003","5L0Xh3L8mNMVqHpiaoUgCr"
"無弦琴(動畫《百妖譜·京師篇》配樂)","薄彩生","《百妖譜·京師篇》動畫原聲帶","Favorite Songs","Favorite","FRX202375904","0Q2WxmkIZrl09dNg8e37F8"
"不可說(《百妖譜·京師篇》 動畫主題曲)","蘇運瑩","《百妖譜·京師篇》動畫原聲帶","Favorite Songs","Favorite","FRX282253318","6OyPbdj8N9a0oeQOLvB5PP"
"不散(《天官賜福》動畫片尾曲)","黃齡","《天官賜福》動畫原聲帶","Favorite Songs","Favorite","FRX282209286","5sJ6GwC074PfV3uEQZZKe3"
"鲸与他的十年","洋澜一","鲸与他的十年","Favorite Songs","Favorite","NL3M12527138","0XgZec2pnLDGlDjLOoBbyA"
"我的心好冷","程响","我的心好冷","Favorite Songs","Favorite","HKG732588946","7cr9BRqjipe6Hkeaeyqksm"
"谁会懂我","洋澜一","谁会懂我","Favorite Songs","Favorite","HKD012315574","0IQQGiBgOcfUgFjg5FQbPq"
"阿果吉曲 - 典藏版","海来阿木","2025×海来阿木 典藏专辑","Favorite Songs","Favorite","FRX452537005","41Y5h21M60F156NRaFY5yR"
"梦底","海来阿木","梦底","Favorite Songs","Favorite","FR2X42669749","6rjHzZoukHUDiZu6py4u60"
"最炫民族风","凤凰传奇","最炫民族风","Favorite Songs","Favorite","HKG732134612","5r67lqCD73xwwPVlsjK2jH"
"美丽的神话 - Live","孙楠","声生不息.家年华 (第二期 live)","Favorite Songs","Favorite","FR59R2544856","3G13c7geAWk8j1xxR7TcGE"
"等你归来","程响","等你归来","Favorite Songs","Favorite","FR10S2145197","2hxza03MF1HL4HD1Sxeke7"
"晚风心里吹","Imjing","晚风心里吹","Favorite Songs","Favorite","QT62U2585797","6WRvHIDxGOojZwzM95Qe4D"
"相思","毛阿敏","天之大","Favorite Songs","Favorite","CNC101200280","0fjK4fjzfvDlgN9K93dYIp"
